name,grades,score,ra,dec,ABmag_F444W,has_COWLS_counterpart,within_COWLS_footprint,code_COWLS
COS_111057,XXXXXXXX,0,150.03231774,2.5241109519,20.2353,False,True,
COS_111373,XXXXXUXX,0,150.04216608,2.5275261603,19.9349,False,True,
COS_11776,XXXXXXXX,0,150.07498166,2.1644235006,19.3589,False,True,
COS_1314,XXXXXXXX,0,150.09290318,2.1070422069,18.6215,False,True,
COS_14967,XXXXXXXX,0,150.06364987,2.1728239714,20.4899,False,True,
COS_153147,XXXXXXXX,0,150.05744314,2.2078644233,,False,True,
COS_16338,XXXXXXXX,0,150.07605423,2.1905005975,18.1877,False,True,
COS_16692,XXXXXXXX,0,150.07929195,2.1858620929,19.6906,False,True,
COS_16944,XXXXXXXX,0,150.13035844,2.1859438892,20.4218,False,True,
COS_17039,XXXXXXXX,0,150.09238662,2.1936241157,18.9378,False,True,
COS_17274,XXXXXXXX,0,150.09512707,2.1937376361,18.617,False,True,
COS_17462,XXXXXXXX,0,150.0773749,2.1917887237,19.5207,False,True,
COS_17801,XXXXXXXX,0,150.06475327,2.1919850472,20.7121,False,True,
COS_18058,XXXXXXXU,0,150.07649841,2.1951630136,19.427,False,True,
COS_18509,XXUXUXXX,0,150.10357235,2.1979355746,19.2313,False,True,
COS_19433,XXXXXXXX,0,150.09565098,2.2037095377,18.947,False,True,
COS_20030,XXXXXXXX,0,150.11406604,2.2028677704,19.9903,False,True,
COS_20241,XXXXXXXU,0,150.05721303,2.2059202863,18.3891,False,True,
COS_20840,XXXXXXXX,0,150.07965182,2.2073645303,20.1542,False,True,
COS_23213,XXXXXXXX,0,150.13066342,2.2182142465,19.4628,False,True,
COS_23924,XXXXXXXX,0,150.09476164,2.2208772389,19.4245,False,True,
COS_24199,XXXXXXXX,0,150.06749042,2.2235379362,18.8535,False,True,
COS_2423,XXXXXXXX,0,150.06795611,2.1102704531,21.0466,False,True,
COS_24819,XXXXXXXX,0,150.10978045,2.2237750326,19.9081,False,True,
COS_25068,XXXXXXXU,0,150.09087806,2.2252237621,19.862,False,True,
COS_25736,XXXXXXXX,0,150.06757163,2.2332335209,18.31,False,True,
COS_27066,XXXXXXXX,0,150.05600605,2.2338231047,20.336,False,True,
COS_29029,XXXXXXXU,0,150.05284638,2.2435204808,18.848,False,True,
COS_30071,XXXXXXXX,0,150.13550267,2.2457073011,19.4237,False,True,
